lon,lat,X1980.02.29,X1980.03.31,X1980.04.30,X1980.05.31,X1980.06.30,X1980.07.31,X1980.08.31,X1980.09.30,X1980.10.31,X1980.11.30,X1980.12.31,X1981.01.31,X1981.02.28,X1981.03.31,X1981.04.30,X1981.05.31,X1981.06.30,X1981.07.31,X1981.08.31,X1981.09.30,X1981.10.31,X1981.11.30,X1981.12.31,X1982.01.31,X1982.02.28,X1982.03.31,X1982.04.30,X1982.05.31,X1982.06.30,X1982.07.31,X1982.08.31,X1982.09.30
44.8500114,39.47312517,7.514183044,21.06330681,33.04319382,45.68642426,34.13500595,17.28086853,10.3698082,10.24778175,10.5581007,7.796326637,5.196917534,5.610345364,10.54883194,22.58428383,32.15525818,46.32175064,44.84421158,29.05891037,25.18668365,8.707086563,11.17540741,6.310382843,4.889371872,4.801205635,5.705832005,18.17300797,35.36314392,48.98777008,42.00880814,33.27939606,20.46899986,14.52951431
47.4500114,39.47312517,13.12038708,24.33208466,47.44970703,56.51461411,55.93352127,24.82772255,12.85462761,19.29995346,21.50173569,12.1656847,9.687867165,13.78235245,16.35176468,27.75988197,40.74757767,55.55465698,54.9457016,52.64314651,45.82401276,31.39945793,23.2087059,12.05905914,12.3117733,10.34655476,13.73674488,25.16001701,48.06047058,53.75807571,54.45280457,57.02845001,45.27787018,29.72604752
47.5500114,39.47312517,14.59986401,26.19591141,45.60174179,49.8506546,48.16399384,30.92916298,17.17409515,21.93201447,21.16101265,12.81992054,11.95009899,15.49813271,18.18202972,29.44609451,38.65544891,50.76192093,48.72464752,46.45995712,45.72103119,33.63506317,23.30960274,12.83856106,14.16277599,11.12057686,14.83550739,26.73493004,46.09722137,49.93440628,46.31002045,52.4629631,46.04522324,30.81192207
47.6500114,39.47312517,15.57709312,28.85384369,47.27343369,50.5776825,41.15746307,24.02779007,6.641606331,24.09415054,22.60303879,13.59339046,14.04254723,17.48667526,20.60180283,32.23116302,40.08784866,48.33794022,41.48217773,40.5989151,38.29572296,22.65369987,21.53898811,12.72717571,17.59692001,12.32028103,16.00201416,29.16347313,47.81208038,49.09434128,46.97572708,43.62245941,30.09498978,21.91522408
47.7500114,39.47312517,15.70308495,28.46673393,46.87653732,54.98567581,48.15048981,55.85018539,21.41371727,24.51918793,23.36631012,13.5301733,13.57464218,17.05437851,20.24150848,31.67685127,39.76379395,51.09817886,46.81585693,50.36459732,46.87812805,28.12249374,22.01543427,12.5850153,16.77417946,11.85872269,15.57403851,28.6135273,47.41415405,52.42777252,51.42557526,50.96172714,29.51748848,23.25203705
47.8500114,39.47312517,15.98520947,29.28932762,47.44305038,56.52853394,47.84031677,49.57878113,22.14542961,22.44400406,22.61811256,13.06507492,13.52971363,17.17256546,20.52057076,32.61472702,39.90603638,52.0350647,46.89548874,47.58253098,42.90917969,30.6518116,21.4484272,12.18748283,16.63333511,11.91668224,15.87109375,29.45220947,47.92925262,53.25866699,51.5228653,47.69993591,28.63334274,22.6179142
47.9500114,39.47312517,15.16140938,28.88946152,50.23688126,60.80810547,50.24282455,46.49568558,24.15899849,21.74106598,23.31165314,13.88194466,13.1994524,16.72687149,20.72873497,31.27316284,43.22088623,57.50305557,49.78472137,54.32305145,48.19655991,26.61768532,21.14343262,12.46055889,16.95842743,11.91489029,15.76229286,29.08220673,50.88906097,58.70942307,51.71383667,43.01362228,21.32162285,23.24979591
48.0500114,39.47312517,15.14594078,27.76197433,47.68435287,58.88644028,47.35911179,47.10364151,26.43950844,22.97907639,22.39803314,13.03702927,12.75365353,16.62207794,20.95073128,30.21883583,40.842659,54.95735931,47.67131424,47.23888779,43.92924881,32.28128815,20.85151482,11.56413651,16.59605789,11.69756126,15.86337376,28.38335609,47.74756622,56.06675339,49.7035675,41.08182907,22.06657791,22.49909019
48.1500114,39.47312517,14.48254585,26.97825432,47.71432877,57.96746826,43.4901123,42.45209885,26.00812912,23.59884071,22.1532402,12.90644646,11.52555656,15.2346344,20.53958893,29.12080002,40.989048,56.0648613,46.08880997,46.13351059,46.23747635,37.55064011,23.80418968,11.62013435,15.24479866,10.97250462,15.5726614,27.75879288,47.44255829,55.84440613,45.86084366,32.88274002,17.26611519,22.50770569
48.2500114,39.47312517,14.15797329,28.81750107,48.86490631,63.11439133,43.10874557,33.97386169,18.72671127,20.01324654,23.40150833,11.94450855,9.668143272,13.52597237,18.81766319,30.24409294,42.32474136,58.4260788,52.05844116,37.38726425,49.64430237,24.90065193,20.27141571,10.39747047,12.96109962,10.05444813,14.81302738,28.82429695,48.34709167,60.40484238,48.55911255,37.47431183,23.38614845,27.60941887
